crab,sat,y,weight,width,color,spine,width_C
149,10,1,1.9,24.0,3,3,"[23.25, 24.25)"
150,9,1,3.0,30.0,2,3,"[29.25, 34.5)"
151,4,1,2.85,27.6,2,3,"[27.25, 28.25)"
152,0,0,2.3,26.2,2,3,"[25.25, 26.25)"
153,0,0,2.0,23.1,2,1,"[0.0, 23.25)"
154,0,0,1.6,22.9,2,1,"[0.0, 23.25)"
155,0,0,1.9,24.5,4,3,"[24.25, 25.25)"
156,4,1,1.95,24.7,2,3,"[24.25, 25.25)"
157,0,0,3.2,28.3,2,3,"[28.25, 29.25)"
158,2,1,1.85,23.9,2,3,"[23.25, 24.25)"
159,0,0,1.8,23.8,3,3,"[23.25, 24.25)"
160,4,1,3.5,29.8,3,2,"[29.25, 34.5)"
161,4,1,2.35,26.5,2,3,"[26.25, 27.25)"
162,3,1,2.275,26.0,2,3,"[25.25, 26.25)"
163,8,1,3.05,28.2,2,3,"[27.25, 28.25)"
164,0,0,2.15,25.7,4,3,"[25.25, 26.25)"
165,7,1,2.75,26.5,2,3,"[26.25, 27.25)"
166,0,0,2.2,25.8,2,3,"[25.25, 26.25)"
167,0,0,1.8,24.1,3,3,"[23.25, 24.25)"
168,2,1,2.175,26.2,3,3,"[25.25, 26.25)"
169,3,1,2.75,26.1,3,3,"[25.25, 26.25)"
170,4,1,3.275,29.0,3,3,"[28.25, 29.25)"
171,0,0,2.625,28.0,1,1,"[27.25, 28.25)"
172,0,0,2.625,27.0,4,3,"[26.25, 27.25)"
173,0,0,2.0,24.5,2,2,"[24.25, 25.25)"
